name,price,regular_price,discount_price
SAMSUNG QE 55 QN70F AUXXH,51.999,65.999,51.999
"4k UHD Mini LED SMART TV HISENSE 65 U8 KQ 65""(164cm)",52.995,72.999,52.995
"4K Mini LED UHD Smart PHILIPS 75 PML 8709, 75""(194cm)",53.995,69.999,53.995
SAMSUNG UE 75 U8072F UXXH,53.999,66.999,53.999
LG 65 QNED 80A3A,54.999,54.999,54.999
LG 75 NANO 81A3A,54.999,59.999,54.999
"4K UHD Smart FUEGO 85 ELU 720 GTV  85"" (215.9cm)",54.999,59.999,54.999
"4K UHD SMART TV LG 65 QNED 86T 3A 65""(1651.cm)",54.999,66.999,54.999
"4K Ultra HD OLED SMART TV PHILIPS 55 OLED 718 55""(139.7cm) Android, Quad Core",55.995,79.999,55.995
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
TCL NXTFRAME 65 A300W,55.999,59.999,55.999
"4K Ambilight TV PHILIPS 75 PML 9008 75""(189cm)",59.995,79.999,59.995
"4K UHD OLED SMART TV LG 55 C41 LA 55""(139.7cm)",59.995,87.699,59.995
PHILIPS 75 PUS 8510 Ambilight,59.999,62.999,59.999
"4К UHD Smart TV SAMSUNG UE 75 DU 8072 UXXH 75""(190.5cm)",59.999,75.999,59.999
"4K UHD SMART TV SONY KD 55 X85 LAEP 55""(139cm)",60.999,78.999,60.999
LG 65 QNED 87A3B,61.999,65.999,61.999
TCL NXTFRAME 55 A300 PRO,61.999,66.999,61.999
HISENSE 85 A6Q,64.999,64.999,64.999
SAMSUNG QE 55 QN80F AUXXH,64.999,71.999,64.999
LG 75 QNED 82A3B,64.999,72.999,64.999
LG 55 B53 LA,64.999,76.999,64.999
"4K 120Hz QNED MiniLED SMART TV LG 65 QNED 91T3A 65""(165.1cm)",65.999,86.999,65.999
LG 48 C51 LA,66.999,79.999,66.999
"4K Mini LED UHD Smart HISENSE 65 U8 NQ, 65""(164cm)",68.999,69.999,68.999
"4К QLED UHD Smart TV SAMSUNG QE 75 Q60 DAUXXH 75""(190.5cm)",69.995,87.999,69.995
"4К Mini LED Smart TV SAMSUNG QE 55 QN90 DATXXH 55"" (139.7cm)",69.995,89.999,69.995
"4k UHD SMART TV GRUNDIG 65 OLED GH 950 65""(164cm)",69.995,99.999,69.995
SAMSUNG QE 65 QN70F AUXXH,71.999,83.999,71.999
"4К QLED UHD Smart TV SAMSUNG QE 65 Q80 DATXXH 65""(165cm)",71.999,86.999,71.999
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"4К Mini LED Smart TV SAMSUNG QE 65 QN85 DBTXXH, 65""(164cm)",71.999,87.999,71.999
TCL NXTFRAME 65 A300 PRO,72.999,79.999,72.999
"4K UHD Smart QD-Mini LED TCL 75 C803, 75""(190.5cm)",72.999,85.999,72.999
"4K UHD Smart TCL 85 C61B, 85""(215.9cm)",73.999,92.499,73.999
"4K Ultra HD OLED SMART TV PHILIPS 65 OLED 718 65""(164cm)",75.995,99.999,75.995
"4k UHD SMART OLED TV SONY XR 55 A80 LAEP, 55""(139.7cm)",75.995,142.999,75.995
"4K UHD Smart QD-Mini LED TCL 65 C855, 65""(165.1cm)",75.999,92.499,75.999
SAMSUNG QE 75 Q7F AAUXXH,76.999,90.999,76.999
PHILIPS 85 PUS 8510 Ambilight,77.999,79.999,77.999
LG 75 QNED 86A3A,82.999,87.999,82.999
LG 55 C51 LA,83.999,83.999,83.999
