name,price
"Notebook Lenovo Yoga 7 2in1 Ryzen5 8640HS/8GB/512GB SSD/14"" WUXGA IPS Touch/W11H/Arctic Gray","42.980,00 ден."
"Notebook Apple MacBook Air M2 Octa Core/8GB/512GB SSD/15.3"" LED IPS/Backlit Kb/Starlight","64.980,00 ден."
"Notebook Apple MacBook Pro M3 Octa Core/8GB/512GB SSD/Apple 10C GPU/14.2"" XDR 120Hz/Backlit Kb/SpG","84.980,00 ден."
"Notebook Lenovo IdeaPad Pro 5 Ryzen7 8845HS/16GB/1TB/RTX 4050 6GB/16"" 2K OLED 120Hz/BacklitKB","69.980,00 ден."
"Notebook Dell Latitude 5550 Ultra 5 125U/16GB/512GB/15.6"" FHD TOUCH/Backlit Kb","56.980,00 ден."
"Notebook Dell Latitude 5530 i5-1235U/16GB/512GB/15.6"" FullHD/BacklitKB/Ubuntu","45.980,00 ден."
"Notebook HP 255 G10 Ryzen5 7530U/16GB/512GB/15.6"" FHD/BacklitKb/Silver","23.980,00 ден."
"Notebook Lenovo ThinkBook 16 G7 Ultra 7 155H/16GB/1TB SSD/16"" WUXGA IPS/Backlit Kb/DOS","51.980,00 ден."
"Notebook HP Victus Gaming i5 13500H/16GB/512GB SSD/RTX 4050 6GB/15.6"" FHD AG IPS 144Hz/Backlit Kb","49.980,00 ден."
"Notebook Acer Aspire 5 i3-1315U/8GB/512GB/15.6"" FHD/USB-C/Thunderbolt/Steel Gray","19.480,00 ден."
"Notebook Lenovo Gaming 3 Ryzen5 6600H 16GB/512GB/RTX3050Ti 4GB/15.6"" FullHD AG 120HZ 250N/Backlit KB","41.980,00 ден."
"Notebook HP Envy 15 x360 Ryzen7 7730U/16GB/1TB/15.6"" FHD Touch OLED/Backlit Kb/Win11","57.980,00 ден."
"Notebook Lenovo ThinkBook 16 G7 Ultra 5 125U/16GB/512GB SSD/16"" WUXGA IPS/Backlit Kb/DOS","42.980,00 ден."
"Notebook HP OMEN Ryzen7 7840HS/16GB/512GB/RTX4060 8GB/16.1"" FHD IPS 165Hz/Backlit Kb/Win11","76.980,00 ден."
"Notebook Dell Vostro 5620 i5-1240P/8GB/256GB/16"" FHD+/BacklitKB/Win11Pro","39.980,00 ден."
"Notebook Lenovo IdeaPad 1 Ryzen7 5700U/12GB/512GB/15.6"" FullHD/DOS/UltraSlim/Gray","22.980,00 ден."
"Notebook HP ProBook 450 G10 i7-1355U/8GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45/DOS","44.480,00 ден."
"Notebook Lenovo ThinkBook 16 G7 Ultra 7 155H/16GB/512GB SSD/16"" WUXGA IPS/Backlit Kb/DOS","49.980,00 ден."
"Notebook HP ProBook 450 G10 i5-1334U/16GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45/DOS","32.980,00 ден."
"Notebook Apple MacBook Air M2 Octa Core/8GB/512GB SSD/15.3"" LED IPS/Backlit Kb/Midnight","64.980,00 ден."
"Notebook HP 250 G9 i3-1215U/8GB/512GB/15.6"" FHD AG/Intel UHD/GigaLAN/Type-C/DOS/Dark Ash","17.980,00 ден."
"Notebook Apple MacBook Pro M4 Pro 12C CPU/24GB/512GB SSD/Apple 16C GPU/14.2"" XDR 120Hz/Backlit Kb/SL","141.980,00 ден."
"Notebook Apple MacBook Pro M4 Pro 12C CPU/24GB/512GB SSD/Apple 16C GPU/14.2"" XDR 120Hz/Backlit Kb/SB","141.980,00 ден."
"Notebook Acer Predator Triton NEO Ultra 9 185H/32GB/1TB/RTX4070 8GB/16"" WQXGA+ 3.2K IPS 165Hz/BackLB","127.980,00 ден."
"Notebook Gigabyte AORUS MASTER 16 Ultra 9 275HX/32GB/1TBSSD/RTX 5080 16GB/16"" OLED 240Hz/RGB KB/W11P","204.980,00 ден."
"Notebook Lenovo ThinkPad X1 Carbon Gen12 Ultra 7 155U/32GB/1TB SSD/14"" 2.8K OLED Touch/FPR/BLKB/W11P","159.980,00 ден."
"Notebook Dell Inspiron 3520 i7-1255U/16GB/512GB/Intel Iris Xe/15.6"" FHD 120Hz/Ubu","33.980,00 ден."
"Notebook HP Victus Gaming Ryzen7 8845HS/16GB/512GB SSD/RTX4070 8GB/16.1"" FHD IPS 144Hz/BacklitKb/W11","74.980,00 ден."
