name,price
Лаптоп ACER Aspire 3 A315-59-78V1 ( Silver ) -Процесор  Intel® Core™ i7-1255U  (12M Cache,"34,999 ден."
Лаптоп ASUS Vivobook S Flip TN3402YA-LZ392/TouchScreen ( Cool Silver ),"34,999 ден."
Лаптоп ASUS Vivobook 15 X1502ZA-BQ1979W / Win 11 (  Quiet Blue ),"34,999 ден."
Лаптоп LENOVO GAMING 3 15ACH6 (Black),"34,999 ден."
Лаптоп LENOVO GAMING LOQ 15IAX9E (Black),"35,599 ден."
Лаптоп Lenovo IdeaPad Slim 3 15IRH8 ( GRAY ),"35,999 ден."
Лаптоп ACER Aspire 5 515-58M-756Q (Steel Gray) -Процесор  Intel® Core™ 7-1355U  (12M Cache,"35,999 ден."
Лаптоп LENOVO  IdeaPad 5 SLIM 13ARP10 / Aluminium Case ( GRAY ),"35,999 ден."
Лаптоп Lenovo IdeaPad Slim 5 14IRH10R / Aluminium Case ( GRAY ),"35,999 ден."
Лаптоп HP Victus  GAMING 16-E0004NIA (Black),"36,995 ден."
Лаптоп DELL Vostro 3530,"36,999 ден."
Лаптоп Lenovo IdeaPad Slim 3 15IRH10 ( GRAY ),"36,999 ден."
Лаптоп Lenovo Slim IdeaPad 5 15IRH9 / Aluminium Case ( GRAY ),"36,999 ден."
Лаптоп ASUS Vivobook 15 X1504VA-BQ1400 (  Cool Silver ),"36,999 ден."
Лаптоп HP 15s-fd0110nia (Natural Silver ),"37,999 ден."
Лаптоп DELL Vostro 3530,"37,999 ден."
Лаптоп LENOVO GAMING LOQ 15IAX9E (Black),"37,999 ден."
Лаптоп ASUS Zenbook UX425EA-WB501T/ Windows 10 ( Pine GRAY ),"38,995 ден."
Лаптоп HP PAVILION GAMING 15-ec2029nia (Black),"38,995 ден."
Лаптоп DELL G5 15 5511,"38,995 ден."
Лаптоп ASUS Zenbook UX425EA-WB503T/ Windows 10 ( Pine GRAY ),"38,995 ден."
Лаптоп ASUS TUF GAMING FA506NF-HN009,"38,999 ден."
Лаптоп LENOVO GAMING LOQ 15IAX9 (Black),"39,999 ден."
Лаптоп ASUS VivoBook S 14 OLED M3402QA-OLED-KM522W / Win 11  (SILVER),"40,995 ден."
Лаптоп ASUS Vivobook 15 OLED M1505YA-MA130W / Win 11 (Silver),"41,999 ден."
Лаптоп ASUS ZenBook 14 UM3402YAR-KP521W / Win 11,"42,995 ден."
Лаптоп LENOVO GAMING LOQ 15ARP9 (Black),"42,999 ден."
Лаптоп ASUS M1503QA-OLED-L721W / Win 11  (Blue),"42,999 ден."
Лаптоп HP ENVY x360 13-ay1007nn TOUCHSCREEN,"43,995 ден."
Лаптоп ASUS Zenbook UX5401EA-OLED-KN511W / TouchScreen / Windows 11,"43,995 ден."
Лаптоп ASUS TUF GAMING FA506NC-HN012,"43,999 ден."
Лаптоп ASUS Vivobook 15 OLED  M1505YA-L1167W / Win 11 (Silver),"43,999 ден."
Лаптоп ASUS VivoBook Pro OLED KM3500QA-OLED-L521W  / Win 11 ( Silver ),"43,999 ден."
Лаптоп ASUS VivoBook S 15 OLED M3502QA-OLED-MA522W  / Win 11 ( GRAY ),"43,999 ден."
Лаптоп ASUS ExpertBook FLIP B3402FBA-UI73D2 ( Star Black ) US MIL-STD 810H military-grade standard,"43,999 ден."
Лаптоп ASUS  B1502CVA-UI51C0X /Win 11 Pro ( Star Black ) US MIL-STD 810H military-grade standard,"43,999 ден."
Лаптоп LENOVO GAMING 3 15IHU6 (Black),"43,999 ден."
Лаптоп ASUS ZenBook 14 OLED  UX3405MA-QD437,"44,499 ден."
Лаптоп ASUS Vivobook S 16 OLED S3607VA-RP031 (  GRAY ),"44,999 ден."
"Лаптоп Apple MacBook Air 13.3"" ( Space Gray )","45,495 ден."
Лаптоп ASUS ZenBook 14 OLED  UX3405MA-QD438 ( Silver ),"46,999 ден."
Лаптоп LENOVO GAMING LOQ 15IRX9 (Black),"47,499 ден."
Лаптоп HP ENVY 13-ba1042nn,"48,495 ден."
"Лаптоп Apple MacBook Air 13.6"" ( Midnight )","48,495 ден."
Лаптоп ASUS Zenbook UX363EA-OLED-HP721X / Win 11 Pro,"48,495 ден."
"Лаптоп Apple MacBook Air 13.6"" ( Space Gray )","48,495 ден."
"Лаптоп Apple MacBook Air 13.6"" ( Silver )","48,495 ден."
"Лаптоп Apple MacBook Air 13.6"" ( Starlight )","48,495 ден."
Лаптоп DELL Latitude 5540,"48,495 ден."
Лаптоп DELL Latitude 5440,"48,495 ден."
Лаптоп ASUS ZenBook 14 UX3402VA-OLED-KM522W / Win 11,"48,495 ден."
Лаптоп Lenovo IdeaPad 5 2-in-1 OLED 14AKP10 / TouchScreen (Gray),"49,499 ден."
Лаптоп Lenovo ThinkBook 16 G6 IRL (Gray),"49,999 ден."
Лаптоп ACER Nitro 5 ANV15-51-52ZL -Процесор  Intel® Core™i5-13420H  (12M Cache,"49,999 ден."
